"Date","Post ID","Post URL","Character Count","Word Count","Links","Images","Videos","Text"
"2026-03-30","null","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEJfE5vvi_LT7lwE&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=f847220ee4319e4c","0","1","","https://lh3.googleusercontent.com/geougc/AF1QipPS_knRkf84bBwb4Ym8j0iLdHnKpbjKj78lysv9=h305-no","",""
"2024-12-28","null","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEICAgICf2riMFw&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=bcdd13eba7a5fb35","0","1","","https://lh3.googleusercontent.com/geougc/AF1QipODgYOkoXPVRN2ypPNd6ezpzwcZrx-018hPnK9d=h305-no","",""
"2024-12-28","4937928560412930544","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEICAgICfmqvcxQE&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=3c6bc241013dc2e7","30","5","https://www.google.com/search?q=Apex+Dental+%26+Orthodontic+Clinic-Best+Dental+clinic+%28where+Quality+meets+Affordability%29+2%2C+Amba+Bhavani+Temple+Rd%2C+near+sambhram+institute+of+technology+college%2C+Vidyaranyapura+Post%2C+BHEL+Layout%2C+Mohammed+Sab+Palya%2C+Chickbetahalli%2C+Bengaluru%2C+Karnataka+560097&phantomAudit=post&hl=en-us&empty=0&addr=2%2C+Amba+Bhavani+Temple+Rd%2C+near+sambhram+institute+of+technology+college%2C+Vidyaranyapura+Post%2C+BHEL+Layout%2C+Mohammed+Sab+Palya%2C+Chickbetahalli%2C+Bengaluru%2C+Karnataka+560097&name=Apex+Dental+%26+Orthodontic+Clinic-Best+Dental+clinic+%28where+Quality+meets+Affordability%29&urlFrom=https%3A%2F%2Fwww.google.com%2Fmaps%2Fplace%2FApex%2BDental%2B%2526%2BOrthodontic%2BClinic-Best%2BDental%2Bclinic%2B%28where%2BQuality%2Bmeets%2BAffordability%29%2F%4013.0928466%2C77.5460513%2C15z%2Fdata%3D%214m15%211m8%213m7%211s0x3bae230d800e42f9%3A0xdff432da6f7acf59%212sApex%2BDental%2B%2526%2BOrthodontic%2BClinic-Best%2BDental%2Bclinic%2B%28where%2BQuality%2Bmeets%2BAffordability%29%218m2%213d13.0928521%214d77.5461347%2110e5%2116s%252Fg%252F11k4vctk7k%213m5%211s0x3bae230d800e42f9%3A0xdff432da6f7acf59%218m2%213d13.0928521%214d77.5461347%2116s%252Fg%252F11k4vctk7k%3Fauthuser%3D0%26entry%3Dttu%26g_ep%3DEgoyMDI2MDgxNi4wIKXMDSoASAFQAw%253D%253D#","https://lh3.googleusercontent.com/geougc/AF1QipOifCcW7jYgHJkOndJnttyYQtmO7PTEQacIEYn-=h305-no","","New year and Anniversary offer"
"2024-09-07","6721153002713552868","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEICAgICHjb-RSA&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=71ffb15a511320cf","92","19","https://www.google.com/search?q=Apex+Dental+%26+Orthodontic+Clinic-Best+Dental+clinic+%28where+Quality+meets+Affordability%29+2%2C+Amba+Bhavani+Temple+Rd%2C+near+sambhram+institute+of+technology+college%2C+Vidyaranyapura+Post%2C+BHEL+Layout%2C+Mohammed+Sab+Palya%2C+Chickbetahalli%2C+Bengaluru%2C+Karnataka+560097&phantomAudit=post&hl=en-us&empty=0&addr=2%2C+Amba+Bhavani+Temple+Rd%2C+near+sambhram+institute+of+technology+college%2C+Vidyaranyapura+Post%2C+BHEL+Layout%2C+Mohammed+Sab+Palya%2C+Chickbetahalli%2C+Bengaluru%2C+Karnataka+560097&name=Apex+Dental+%26+Orthodontic+Clinic-Best+Dental+clinic+%28where+Quality+meets+Affordability%29&urlFrom=https%3A%2F%2Fwww.google.com%2Fmaps%2Fplace%2FApex%2BDental%2B%2526%2BOrthodontic%2BClinic-Best%2BDental%2Bclinic%2B%28where%2BQuality%2Bmeets%2BAffordability%29%2F%4013.0928466%2C77.5460513%2C15z%2Fdata%3D%214m15%211m8%213m7%211s0x3bae230d800e42f9%3A0xdff432da6f7acf59%212sApex%2BDental%2B%2526%2BOrthodontic%2BClinic-Best%2BDental%2Bclinic%2B%28where%2BQuality%2Bmeets%2BAffordability%29%218m2%213d13.0928521%214d77.5461347%2110e5%2116s%252Fg%252F11k4vctk7k%213m5%211s0x3bae230d800e42f9%3A0xdff432da6f7acf59%218m2%213d13.0928521%214d77.5461347%2116s%252Fg%252F11k4vctk7k%3Fauthuser%3D0%26entry%3Dttu%26g_ep%3DEgoyMDI2MDgxNi4wIKXMDSoASAFQAw%253D%253D#","","","Upto 10% off on zirconia crowns and bridges.. grab the offer soon .. offer ends on 16 sep 24"
"2024-05-01","3067286007064088496","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEICAgIDjspfnEA&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=613158c8d43d954d","49","7","https://www.google.com/search?q=Apex+Dental+%26+Orthodontic+Clinic-Best+Dental+clinic+%28where+Quality+meets+Affordability%29+2%2C+Amba+Bhavani+Temple+Rd%2C+near+sambhram+institute+of+technology+college%2C+Vidyaranyapura+Post%2C+BHEL+Layout%2C+Mohammed+Sab+Palya%2C+Chickbetahalli%2C+Bengaluru%2C+Karnataka+560097&phantomAudit=post&hl=en-us&empty=0&addr=2%2C+Amba+Bhavani+Temple+Rd%2C+near+sambhram+institute+of+technology+college%2C+Vidyaranyapura+Post%2C+BHEL+Layout%2C+Mohammed+Sab+Palya%2C+Chickbetahalli%2C+Bengaluru%2C+Karnataka+560097&name=Apex+Dental+%26+Orthodontic+Clinic-Best+Dental+clinic+%28where+Quality+meets+Affordability%29&urlFrom=https%3A%2F%2Fwww.google.com%2Fmaps%2Fplace%2FApex%2BDental%2B%2526%2BOrthodontic%2BClinic-Best%2BDental%2Bclinic%2B%28where%2BQuality%2Bmeets%2BAffordability%29%2F%4013.0928466%2C77.5460513%2C15z%2Fdata%3D%214m15%211m8%213m7%211s0x3bae230d800e42f9%3A0xdff432da6f7acf59%212sApex%2BDental%2B%2526%2BOrthodontic%2BClinic-Best%2BDental%2Bclinic%2B%28where%2BQuality%2Bmeets%2BAffordability%29%218m2%213d13.0928521%214d77.5461347%2110e5%2116s%252Fg%252F11k4vctk7k%213m5%211s0x3bae230d800e42f9%3A0xdff432da6f7acf59%218m2%213d13.0928521%214d77.5461347%2116s%252Fg%252F11k4vctk7k%3Fauthuser%3D0%26entry%3Dttu%26g_ep%3DEgoyMDI2MDgxNi4wIKXMDSoASAFQAw%253D%253D#","","","Free Braces consultation from 1-5-24 till 15-5-24"
"2024-05-01","3319481267042692606","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEICAgIDjssORtAE&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=13eb0acb66b3c632","49","7","https://www.google.com/search?q=Apex+Dental+%26+Orthodontic+Clinic-Best+Dental+clinic+%28where+Quality+meets+Affordability%29+2%2C+Amba+Bhavani+Temple+Rd%2C+near+sambhram+institute+of+technology+college%2C+Vidyaranyapura+Post%2C+BHEL+Layout%2C+Mohammed+Sab+Palya%2C+Chickbetahalli%2C+Bengaluru%2C+Karnataka+560097&phantomAudit=post&hl=en-us&empty=0&addr=2%2C+Amba+Bhavani+Temple+Rd%2C+near+sambhram+institute+of+technology+college%2C+Vidyaranyapura+Post%2C+BHEL+Layout%2C+Mohammed+Sab+Palya%2C+Chickbetahalli%2C+Bengaluru%2C+Karnataka+560097&name=Apex+Dental+%26+Orthodontic+Clinic-Best+Dental+clinic+%28where+Quality+meets+Affordability%29&urlFrom=https%3A%2F%2Fwww.google.com%2Fmaps%2Fplace%2FApex%2BDental%2B%2526%2BOrthodontic%2BClinic-Best%2BDental%2Bclinic%2B%28where%2BQuality%2Bmeets%2BAffordability%29%2F%4013.0928466%2C77.5460513%2C15z%2Fdata%3D%214m15%211m8%213m7%211s0x3bae230d800e42f9%3A0xdff432da6f7acf59%212sApex%2BDental%2B%2526%2BOrthodontic%2BClinic-Best%2BDental%2Bclinic%2B%28where%2BQuality%2Bmeets%2BAffordability%29%218m2%213d13.0928521%214d77.5461347%2110e5%2116s%252Fg%252F11k4vctk7k%213m5%211s0x3bae230d800e42f9%3A0xdff432da6f7acf59%218m2%213d13.0928521%214d77.5461347%2116s%252Fg%252F11k4vctk7k%3Fauthuser%3D0%26entry%3Dttu%26g_ep%3DEgoyMDI2MDgxNi4wIKXMDSoASAFQAw%253D%253D#","","","Free Braces consultation from 1-5-24 till 15-5-24"
"2024-03-28","6006273868483226331","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEICAgICD3sCjQw&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=66247e182b1bc44a","19","4","","https://lh3.googleusercontent.com/geougc/AF1QipNoaZU5cnJRwd1sjh0gcq7b08u3UrUVre4GH5Nc=h305-no","","Avail the offer now"
"2024-03-08","null","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEICAgIC99aTx4gE&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=44724ce772a90f43","0","1","","https://lh3.googleusercontent.com/geougc/AF1QipN3knIIEgEDbwhmFN6Ke2iYbx4v4yfF5KgIX7SK=h305-no","",""
"2024-02-24","null","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEICAgIDd8eKCRw&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=119ec0f52683498c","0","1","","https://lh3.googleusercontent.com/geougc/AF1QipOIs-scpJHSiAeBaemjuF--rfmCs3hWYCaDRa7C=h305-no","",""
"2024-02-22","5392677469169676343","https://search.google.com/local/posts?q=Apex%20Dental%20%26%20Orthodontic%20Clinic-Best%20Dental%20clinic%20(where%20Quality%20meets%20Affordability)&ludocid=16137579278529908569&lpsid=CIHM0ogKEICAgIDd6qbOAQ&source=sh%2Fx%2Floc%2Fpost%2Fm1%2F1&lsig=AB86z5Xocd1hLZ8ExDR-KhtujcON&shem=epsd1%2Crimspwouoe&shndl=-1&kgs=5e72a6e28a4102a6","18","3","","","","Amba bavani temple"
